Date,Set 1,Set 2,Set 3
4/18/2024,135x13,135x7,135x7
4/14/2024,135x13,135x10,135x8
4/9/2024,135x12,135x9,135x8
4/6/2024,135x12,135x10,135x8
4/3/2024,135x11,135x10,135x6
3/30/2024,135x11,135x10,135x6
3/24/2024,135x12,135x10,135x7
3/21/2024,135x12,135x10,135x6
3/16/2024,135x12,135x9,135x6
3/13/2024,135x9,135x8,125x11
3/10/2024,135x10,135x7,125x9
3/7/2024,135x10,135x6,115x14
3/4/2024,125x13,125x11,125x8
3/1/2024,125x12,125x8,115x12
2/27/2024,125x10,115x13,115x11
2/24/2024,125x12,115x12,115x10
2/19/2024,125x12,115x13,115x9
2/15/2024,115x12,115x12,115x9
2/12/2024,115x12,115x11,115x8
2/5/2024,115x12,115x10,115x7
2/2/2024,135x5,115x9,115x7
1/29/2024,135x4,115x9,115x6
1/26/2024,115x11,115x9,115x5
1/22/2024,115x11,115x8,115x4
1/19/2024,115x10,115x6,105x8
1/16/2024,110x12,110x10,110x6
1/12/2024,105x12,105x9,100x9
1/9/2024,100x12,100x11,100x8
